Word                 Count
---------------------------
1,162                    1
1,820                    1
1840                     1
1853                     1
1867                     1
2,000                    1
400-horsepower           1
650-horsepower           1
a                        8
ability                  1
accident                 1
accordingly              1
added                    1
after                    1
all                      2
and                      7
arabia                   1
as                       2
assets                   2
astonished               1
at                       2
atlantic                 1
be                       2
been                     3
between                  1
biggest                  1
burden                   1
business                 1
by                       3
can                      2
canceled                 1
charter                  1
china                    1
choose                   1
co                       1
company                  2
company's                1
competition              1
condensed                1
conducted                1
craft                    1
crossings                1
crowned                  1
cunard                   4
dealings                 1
delay                    1
despite                  1
details                  1
documents                1
eastern                  1
eight                    2
english                  1
even                     1
ever                     1
everyone                 1
famous                   1
featuring                1
finest                   1
for                      1
founded                  1
four                     2
france                   1
from                     1
fully                    1
give                     1
given                    1
great                    1
greater                  2
had                      1
halifax                  1
has                      1
have                     2
highly                   1
i                        1
if                       1
importance               1
in                       7
increased                1
industrialist            1
involving                1
is                       2
it                       1
its                      3
java                     1
just                     1
known                    1
later                    1
letter                   1
line                     1
liverpool                1
lost                     1
made                     1
mail-carrying            1
man                      1
management               1
maritime                 1
metric                   2
more                     2
much                     1
name                     1
navigational             1
no                       4
of                       8
official                 1
one                      3
or                       1
other                    1
others                   1
over                     1
owned                    1
paddle                   2
passengers               1
persia                   1
plow                     1
postal                   1
power                    1
preference               1
propellers               1
provoked                 1
recent                   1
recorded                 1
renewed                  1
russia                   1
scotia                   1
seas                     1
seen                     1
service                  1
shipowner                1
ships                    5
shrewd                   2
so                       3
speed                    1
steamers                 1
still                    2
strong                   1
success                  1
successively             1
survey                   1
that                     1
the                     16
these                    1
this                     5
three                    1
to                       3
tonnage                  1
tons                     2
top                      1
transoceanic             1
transportation           1
twelve                   1
twenty-six               1
two                      2
unaware                  1
understand               1
undertaking              1
uproar                   1
vessels                  1
voyage                   1
were                     1
wheels                   2
whose                    1
will                     1
with                     5
without                  1
wooden                   1
world                    1
years                    3
